hero_id,id_num,nerf_buff,attribute,str,int,agi,str_gain,intel_gain,agi_gain,attack_range,base_attack_time,movement_speed,armor,damage_lower,damage_upper,missile_speed,cast_duration_before,cast_duration_after,hp_regen,mp_regen,magic_res,day_vision,night_vision,turn_rate,damage_avg,str_25,int_25,agi_25
npc_dota_hero_medusa,94.0,Buff,agi,14.0,19.0,20.0,1.65,1.85,2.5,600.0,1.7,295,-1.0,24.0,30.0,1200.0,0.4,0.5,1.75,0.9,25.0,1800.0,800.0,0.5,27.0,46.0,69.0,80.0
npc_dota_hero_meepo,82.0,Nerf,agi,23.0,20.0,23.0,1.3,1.6,1.9,150.0,1.7,320.0,1,16.0,22.0,0.0,0.5,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,19.0,62.0,58.0,75.0
npc_dota_hero_mirana,9.0,Buff,agi,17.0,17.0,20,1.8499999999999999,1.65,3.3,630.0,1.7,305.0,-1.0,22.0,27.0,900.0,0.5,0.83,1.75,0.9,25.0,1800.0,800.0,0.5,24.5,69.0,56.0,94.0
npc_dota_hero_monkey_king,114.0,NoHero,agi,18.0,20.0,22.0,2.2,1.8,3.2,300.0,1.7,310.0,0,30.0,36.0,0.0,0.0,0.0,0.75,0.9,25.0,1800.0,800.0,0.6,33.0,86.0,63.0,98.0
npc_dota_hero_morphling,10.0,Buff,agi,19.0,17,24.0,1.9999999999999998,1.1,3.4,350.0,1.6,290.0,-2.0,13.0,22.0,1300.0,0.25,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,17.5,75.0,39.0,112.0
npc_dota_hero_naga_siren,89.0,Buff,agi,21.0,21.0,21.0,2.3,2.0,2.75,150.0,1.7,325.0,3.0,23.0,25.0,0.0,0.65,0.7,0.5,0.9,25.0,1800.0,800.0,0.5,24.0,89.0,69.0,97.0
npc_dota_hero_nevermore,11.0,Nerf,agi,15.0,18.0,20.0,1.9999999999999998,2.0,2.9,500.0,1.7,305,-2.0,15.0,21.0,1200.0,0.67,0.4,0.5,0.9,25.0,1800.0,800.0,1,18.0,71.0,66.0,89.0
npc_dota_hero_nyx_assassin,88.0,Buff,agi,18.0,18.0,19.0,1.9999999999999998,2.1,2.2,150.0,1.7,305.0,1.0,27.0,31.0,0.0,0.4,1.1,1.75,0.9,25.0,1800.0,800.0,0.5,29.0,74.0,68.0,71.0
npc_dota_hero_pangolier,120.0,NoHero,agi,16.0,16.0,18.0,2.2,1.9,2.8,150.0,1.7,315.0,1.0,29.0,35.0,0.0,0.0,0.51,2.0,0.9,25.0,1800.0,800.0,1,32.0,77.0,61.0,85.0
npc_dota_hero_phantom_assassin,44.0,Buff,agi,20.0,13,23.0,11.85,1,3.15,150.0,1.7,315,1.0,23.0,25.0,0.0,0.3,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,24.0,312.0,48.0,98.0
npc_dota_hero_phantom_lancer,12.0,NA,agi,18.0,21.0,29.0,1.7,2.0,2.6,150.0,1.7,295.0,0.0,25.0,47.0,0.0,0.3,0.51,0.5,0.9,25.0,1800.0,800.0,0.6,36.0,67.0,67.0,91.0
npc_dota_hero_razor,15.0,NA,agi,21.0,19,22.0,2.3000000000000003,1.8,2,475.0,1.7,300.0,-1.0,23.0,25.0,2000.0,0.5,0.125,1.75,0.9,25.0,1800.0,800.0,0.4,24.0,84.0,64.0,65.0
npc_dota_hero_riki,32.0,Nerf,agi,17.0,14.0,34,1.6,1.3,2.2,150.0,1.7,290,0,4.0,8.0,0.0,0.4,0.51,3.25,0.9,25.0,1800.0,800.0,0.6,6.0,63.0,45.0,82.0
npc_dota_hero_slark,93.0,NA,agi,21,16.0,21.0,1.8,1.9,1.5,150.0,1.7,305,-1.0,33.0,41.0,0.0,0.0,0.51,1.75,0.9,25.0,1800.0,1800.0,0.5,37.0,66.0,56.0,57.0
npc_dota_hero_sniper,35.0,NA,agi,16,15.0,21.0,1.7,2.6,2.5,550.0,1.7,295.0,-1.0,15.0,21.0,3000.0,0.3,0.51,1.75,0.9,25.0,1800.0,1000,0.6,18.0,57.0,77.0,85.0
npc_dota_hero_spectre,67.0,NA,agi,19,16.0,23.0,1.9999999999999998,1.9,2.2,150.0,1.7,295.0,0.0,23.0,27.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,25.0,76.0,61.0,66.0
npc_dota_hero_templar_assassin,45.0,Nerf,agi,18.0,20.0,23.0,2.1,2.0,2.7,140.0,1.7,310,1.0,30.0,36.0,900.0,0.3,0.51,2.0,0.9,25.0,1800.0,800.0,0.7,33.0,76.0,68.0,78.0
npc_dota_hero_terrorblade,109.0,NA,agi,15.0,19.0,22.0,1.4,1.75,3.2,150.0,1.5,320.0,4,26.0,32.0,0.0,0.5,0.51,2.0,0.9,25.0,1800.0,800.0,0.5,29.0,56.0,57.0,122.0
npc_dota_hero_troll_warlord,95.0,Buff,agi,17,13.0,21.0,2.2,1.0,2.75,500.0,1.7,310.0,-1.0,17.0,35.0,1200.0,0.2,0.3,1.75,0.9,25.0,1800.0,800.0,0.5,26.0,81.0,37.0,81.0
npc_dota_hero_ursa,70.0,Buff,agi,23.0,16.0,18.0,2.7,1.5,2.1,150.0,1.7,320.0,3,27.0,31.0,0.0,0.3,0.0,0.25,0.9,25.0,1800.0,800.0,0.5,29.0,103.0,52.0,68.0
npc_dota_hero_vengefulspirit,20.0,Buff,agi,18.0,13.0,27.0,2.6,1.5,3.3,400.0,1.7,310,0.0,9.0,23.0,1500.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,16.0,88.0,49.0,106.0
npc_dota_hero_venomancer,40.0,Buff,agi,18.0,15,22.0,1.85,1.75,2.6,450.0,1.7,290.0,0.0,19.0,21.0,900.0,0.0,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,20.0,64.0,60.0,89.0
npc_dota_hero_viper,47.0,Buff,agi,20.0,15.0,21.0,1.9,1.8,2.9,575.0,1.7,290.0,-1.0,23.0,25.0,1200.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,24.0,78.0,58.0,90.0
npc_dota_hero_weaver,63.0,Buff,agi,15.0,15,14.0,1.5,1.8,2.5,425.0,1.8,290,-1.0,39.0,49.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,44.0,59.0,56.0,88.0
npc_dota_dark_willow,119.0,NoHero,int,18.0,20.0,18.0,1.5,3.0,1.6,475.0,1.3,295.0,-1.0,27.0,35.0,1200.0,0.0,0.51,1.75,0.9,25.0,1800.0,800.0,0.7,31.0,63.0,90.0,56.0
npc_dota_hero_ancient_apparition,68.0,NA,int,18.0,25.0,20.0,1.4,2.6,2.2,600,1.7,295.0,-1.0,19,29,1250.0,0.01,0.75,1.75,0.9,25.0,1800.0,800.0,0.6,24.0,60.0,85.0,72.0
npc_dota_hero_bane,3.0,Nerf,int,22,22,22,2.1,2.1,2.1,400.0,1.7,310.0,1.0,33.0,39.0,900.0,0.5,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,36.0,80.0,80.0,80.0
npc_dota_hero_batrider,65.0,Nerf,int,23,24.0,15.0,2.4000000000000004,2.5,1.5,375.0,1.7,290.0,0.0,16.0,20.0,900.0,0.2,0.7,2.0,0.9,25.0,1200.0,800.0,1,18.0,92.0,82.0,51.0
npc_dota_hero_chen,66.0,Buff,int,23.0,21.0,15.0,1.5,2.8,2.1,600,1.7,310.0,-1.0,29.0,39.0,1100.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,34.0,68.0,86.0,65.0
npc_dota_hero_crystal_maiden,5.0,Buff,int,16.0,16.0,16.0,1.7,2.9,1.6,600.0,1.7,280,-1,18.0,24.0,900.0,0.3,2.4,1.75,0.9,25.0,1800.0,800.0,0.5,21.0,66.0,83.0,54.0
npc_dota_hero_dark_seer,55.0,Nerf,int,22,25,12.0,2.3000000000000003,2.7,1.2,150.0,1.7,300,5.0,33.0,39.0,0.0,0.4,0.67,1.75,0.9,25.0,1800.0,800.0,0.6,36.0,93.0,85.0,40.0
npc_dota_hero_dazzle,50.0,Nerf,int,16.0,27.0,21.0,1.8499999999999999,3.4,1.7,550.0,1.7,305,-1.0,16.0,22.0,1200.0,0.3,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,19.0,73.0,106.0,61.0
npc_dota_hero_death_prophet,43.0,Buff,int,19,23.0,14.0,1.9,3.0,1.4,600.0,1.7,310,1.0,26.0,38.0,1000.0,0.5,0.83,0.75,0.9,25.0,1800.0,800.0,0.5,32.0,88.0,93.0,47.0
npc_dota_hero_disruptor,87.0,NA,int,19.0,22.0,15.0,1.9000000000000001,2.5,1.4,600.0,1.7,300.0,-1.0,29.0,33.0,1200.0,0.05,1.0,1.75,0.9,25.0,1800.0,800.0,0.5,31.0,73.0,80.0,48.0
npc_dota_hero_enchantress,58.0,Buff,int,16,14,19.0,1.0,2.8,1.8,550,1.7,335,-2.0,33.0,43.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,38.0,52.0,91.0,62.0
npc_dota_hero_enigma,33.0,Buff,int,17,20.0,14.0,2.1,3.4,1.0,500.0,1.7,300.0,2.0,24.0,30.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,27.0,78.0,99.0,38.0
npc_dota_hero_furion,53.0,Buff,int,19.0,25.0,18.0,1.8,2.9,1.9,600.0,1.7,295,1.0,26.0,40.0,1125.0,0.5,1.17,1.75,0.9,25.0,1800.0,800.0,0.6,33.0,78.0,92.0,75.0
npc_dota_hero_invoker,74.0,Nerf,int,17,22,14.0,1.7,4.0,1.9,600.0,1.7,280.0,-1.0,21.0,27.0,900.0,0.0,0.0,1.75,0.9,25.0,1800.0,800.0,0.5,24.0,70.0,110.0,59.0
npc_dota_hero_jakiro,64.0,NA,int,25.0,28,10.0,2.3000000000000003,2.8,1.2,400.0,1.7,290.0,1.0,25.0,33.0,1100.0,0.65,0.3,1.75,0.9,25.0,1800.0,800.0,0.5,29.0,89.0,93.0,38.0
npc_dota_hero_keeper_of_the_light,90.0,Buff,int,14.0,22,15.0,1.8,2.8,1.6,600.0,1.7,315,-1.0,43,57,900.0,0.3,2.4,1.75,0.9,25.0,1800.0,800.0,0.5,50.0,66.0,90.0,53.0
npc_dota_hero_leshrac,52.0,NA,int,16.0,26.0,23.0,1.5,3.0,1.7,600.0,1.7,320,0.0,17.0,21.0,900.0,0.7,0.8,1.75,0.9,25.0,1800.0,800.0,0.5,19.0,68.0,94.0,63.0
npc_dota_hero_lich,31.0,NA,int,18.0,18.0,15.0,1.55,3.25,2.0,550.0,1.7,315.0,-1.0,26.0,35.0,900.0,0.4,1.1,1.75,0.9,25.0,1800.0,800.0,0.5,30.5,64.0,94.0,63.0
npc_dota_hero_lina,25.0,NA,int,18.0,27.0,16.0,1.5,3.2,1.5,670.0,1.7,295.0,-1.0,18.0,30.0,1000.0,0.45,1.08,1.75,0.9,25.0,1800.0,800.0,0.5,24.0,63.0,104.0,52.0
npc_dota_hero_lion,26.0,Buff,int,16.0,22,15.0,1.7,3.0,1.5,600.0,1.7,290.0,-1.0,27,33,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,30.0,66.0,90.0,51.0
npc_dota_hero_necrolyte,36.0,Buff,int,16.0,22.0,15,2.0000000000000004,2.5,1.7,550.0,1.7,290,1.0,24.0,28.0,900.0,0.5,0.5,1.75,0.9,25.0,1800.0,800.0,0.5,26.0,80.0,80.0,43.0
npc_dota_hero_obsidian_destroyer,76.0,Buff,int,19.0,26.0,24.0,2.3000000000000003,2.7,2.0,450.0,1.7,315.0,1.5,22.0,37.0,900.0,0.25,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,29.5,81.0,88.0,72.0
npc_dota_hero_ogre_magi,84.0,Buff,int,23.0,17.0,14.0,3.2,2.4,1.55,150.0,1.7,295,6.0,43.0,49.0,0.0,0.45,0.51,3.5,0.9,25.0,1800.0,800.0,0.6,46.0,109.0,63.0,51.0
npc_dota_hero_oracle,111.0,Buff,int,18.0,23.0,15.0,1.9000000000000001,2.9,1.7,620.0,1.4,305.0,0.0,24.0,30.0,900.0,0.3,0.83,1.75,0.9,25.0,1800.0,800.0,0.4,27.0,72.0,105.0,55.0
npc_dota_hero_puck,13.0,Buff,int,15.0,25.0,22.0,1.7,2.4,1.7,550.0,1.7,295.0,-1.0,33.0,44.0,900.0,0.1,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,38.5,65.0,80.0,62.0
npc_dota_hero_pugna,45.0,NA,int,17.0,26.0,16.0,1.2,4,1.0,600,1.7,330,-1,21.0,29.0,900.0,0.2,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,25.0,62.0,132.0,40.0
npc_dota_hero_queenofpain,39.0,Nerf,int,16.0,24.0,18.0,1.6999999999999997,2.5,2.0,550.0,1.6,295.0,-1.0,27.0,35.0,1500.0,0.452,1.008,1.75,0.9,25.0,1800.0,800.0,0.5,31.0,73.0,82.0,66.0
npc_dota_hero_rubick,86.0,Buff,int,19.0,27,14.0,1.5,2.4,1.6,600,1.7,290.0,-1.0,17.0,27.0,1125.0,0.1,1.17,1.75,0.9,25.0,1800.0,800.0,0.5,22.0,64.0,82.0,52.0
npc_dota_hero_shadow_demon,79.0,Buff,int,17,23.0,18.0,1.9000000000000001,2.7,2.2,500.0,1.7,295.0,0.0,29.0,33.0,900.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,31.0,80.0,85.0,70.0
npc_dota_hero_shadow_shaman,27.0,Buff,int,21.0,21,16.0,1.8,3.0,1.6,500,1.7,285.0,-1.0,28.0,35.0,900.0,0.3,1.07,1.75,0.9,25.0,1800.0,800.0,0.4,31.5,73.0,93.0,54.0
npc_dota_hero_silencer,75.0,Buff,int,17.0,27.0,16,2.2,2.5,3.0,600.0,1.7,295.0,-1.0,18.0,32.0,1000.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,25.0,79.0,85.0,94.0
npc_dota_hero_skywrath_mage,101.0,Buff,int,19.0,27.0,13.0,1.5,3.6,0.8,600.0,1.7,325,-2.0,14.0,24.0,1000.0,0.1,1.08,1.75,0.9,25.0,1800.0,800.0,0.5,19.0,64.0,111.0,32.0
npc_dota_hero_storm_spirit,17.0,Buff,int,19.0,23,22.0,1.5,2.6,1.8,480.0,1.7,285.0,2.0,24.0,34.0,1100.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.8,29.0,64.0,94.0,58.0
npc_dota_hero_techies,105.0,NA,int,17.0,22.0,14.0,1.9999999999999998,2.9,1.3,700.0,1.7,270.0,5.0,9.0,11.0,900.0,0.0,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,10.0,74.0,89.0,45.0
npc_dota_hero_tinker,34.0,NA,int,17.0,27,13.0,1.9999999999999998,2.2,1.2,500.0,1.7,305,2.0,24.0,30.0,900.0,0.53,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,27.0,72.0,80.0,41.0
npc_dota_hero_visage,92.0,Buff,int,22.0,24.0,11.0,2.4000000000000004,2.5,1.3,600.0,1.7,285.0,-2.0,26.0,36.0,900.0,0.4,1.1,1.75,0.9,10.0,1800.0,800.0,0.5,31.0,96.0,82.0,42.0
npc_dota_hero_warlock,37.0,Buff,int,22.0,24.0,10.0,2.5,2.7,1.0,600.0,1.7,300.0,1.0,24.0,34.0,1200.0,0.5,0.5,1.75,0.9,25.0,1800.0,800.0,0.4,29.0,91.0,86.0,34.0
npc_dota_hero_windrunner,21.0,Buff,int,15.0,22.0,17.0,2.5,2.6,1.4,600.0,1.5,295.0,-1.0,24.0,36.0,125.0,0.3,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,30.0,84.0,80.0,50.0
npc_dota_hero_winter_wyvern,112.0,Nerf,int,24.0,25,16.0,2.1,3.1,1.9,425.0,1.7,285.0,-1.0,15.0,22.0,700.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,18.5,83.0,100.0,61.0
npc_dota_hero_witch_doctor,30.0,Buff,int,16.0,24.0,13.0,1.8,2.9,1.4,600.0,1.7,305.0,-1.0,29.0,39.0,1200.0,0.34,0.52,1.75,0.9,25.0,1800.0,800.0,0.4,34.0,68.0,91.0,46.0
npc_dota_hero_zuus,22.0,NA,int,19.0,20,11.0,2.3000000000000003,2.7,1.2,350,1.7,295,0.0,21.0,29.0,1100.0,0.4,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,25.0,71.0,84.0,39.0
npc_dota_hero_abaddon,102.0,NA,str,23.0,17.0,21.0,2.5,1.5,2.0,150.0,1.7,310.0,-1.0,32.0,42.0,0.0,0.45,1.008,1.75,0.9,25.0,1800.0,800.0,0.5,37.0,85.0,53.0,69.0
npc_dota_hero_abyssal_underlord,108.0,NA,str,25.0,17.0,12.0,2.6,2.6,1.3,150.0,1.7,305,2.0,37.0,43.0,0.0,0.6,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,40.0,94.0,79.0,43.0
npc_dota_hero_alchemist,73.0,Nerf,str,25.0,25.0,11.0,1.8,1.8,1.2,150.0,1.7,295.0,0.0,24.0,33.0,0.0,0.4,0.5,1.75,0.9,25.0,1800.0,800.0,0.6,28.5,75.0,68.0,44.0
npc_dota_hero_axe,2.0,NA,str,25.0,18.0,20.0,2.5,1.6,2.2,150.0,1.7,290.0,-1.0,24.0,28.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,26.0,92.0,56.0,72.0
npc_dota_hero_beastmaster,38.0,Buff,str,23.0,16.0,18.0,2.2,1.9,1.6,150.0,1.7,310.0,2.0,41.0,45.0,0.0,0.5,0.5,1.75,0.9,25.0,1800.0,800.0,0.5,43.0,83.0,61.0,56.0
npc_dota_hero_brewmaster,78.0,Buff,str,23.0,14.0,22.0,2.9000000000000004,1.25,1.95,150.0,1.7,300.0,-1.0,29.0,36.0,0.0,0.4,0.5,0.75,0.9,25.0,1800.0,800.0,0.6,32.5,99.0,44.0,68.0
npc_dota_hero_bristleback,99.0,Buff,str,22.0,14.0,17.0,2.5,2.8,1.8,150.0,1.8,290.0,1.0,26.0,36.0,0.0,0.4,0.51,1.75,0.9,25.0,1800.0,800.0,1,31.0,74.0,81.0,60.0
npc_dota_hero_centaur,96.0,Buff,str,23,15.0,15.0,4.0,1.6,2,150.0,1.7,300,1,32.0,33.0,0.0,0.5,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,32.5,130.0,53.0,39.0
npc_dota_hero_chaos_knight,81.0,Buff,str,20,16.0,14.0,2.9000000000000004,1.2,2.1,150.0,1.7,325.0,2.0,29.0,59.0,0.0,0.4,0.2,1.75,0.9,25.0,1800.0,800.0,0.5,44.0,98.0,46.0,64.0
npc_dota_hero_doom_bringer,69.0,Nerf,str,26.0,13.0,11.0,3.2,2.1,0.9,150.0,2.0,285.0,-1.0,27.0,43.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,35.0,110.0,65.0,32.0
npc_dota_hero_dragon_knight,48.0,Buff,str,19.0,15.0,19.0,2.8000000000000003,1.7,2.2,150.0,1.7,290,1.0,27.0,33.0,0.0,0.0,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,30.0,93.0,55.0,67.0
npc_dota_hero_earth_spirit,107.0,Nerf,str,21.0,18.0,17.0,2.9000000000000004,2.1,1.5,150.0,1.7,305,1.0,25.0,35.0,0.0,0.01,0.0,1.75,0.9,25.0,1800.0,800.0,0.6,30.0,105.0,68.0,53.0
npc_dota_hero_earthshaker,7.0,NA,str,22.0,16.0,12.0,2.9000000000000004,1.8,1.4,150.0,1.7,310,1,24.0,34.0,0.0,0.69,0.5,2.25,0.9,25.0,1800.0,800.0,0.9,29.0,98.0,59.0,45.0
npc_dota_hero_elder_titan,103.0,Buff,str,24.0,23.0,14.0,2.3000000000000003,1.6,1.5,150.0,1.7,315.0,1.0,23.0,33.0,0.0,0.4,0.8,1.75,0.9,25.0,1800.0,800.0,0.4,28.0,86.0,61.0,57.0
npc_dota_hero_huskar,59.0,Nerf,str,21.0,18.0,15.0,2.4000000000000004,1.5,1.4,400.0,1.6,300,-1.0,22.0,30.0,1400.0,0.3,2.4,1.75,0.9,25.0,1800.0,800.0,0.5,23.5,85.0,54.0,48.0
npc_dota_hero_kunkka,23.0,Buff,str,24.0,18.0,14.0,3.0,1.5,1.3,150.0,1.7,300.0,0,26.0,36.0,0.0,0.4,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,31.0,103.0,54.0,45.0
npc_dota_hero_legion_commander,104.0,NA,str,26.0,20.0,18.0,2.6,2.2,1.7,150.0,1.7,320.0,0.0,35.0,39.0,0.0,0.3,0.6,1.75,0.9,25.0,1800.0,800.0,0.5,37.0,95.0,72.0,58.0
npc_dota_hero_life_stealer,54.0,Buff,str,25.0,15.0,18.0,2.4,1.75,1.9,150.0,1.7,315.0,-1.0,32.0,42.0,0.0,0.01,0.01,1.75,0.9,25.0,1800.0,800.0,1,37.0,99.0,57.0,63.0
npc_dota_hero_lycan,77.0,Buff,str,22.0,17.0,16.0,3.0,1.55,1.5,150.0,1.7,305.0,1.0,36.0,41.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,38.5,104.0,50.0,40.0
npc_dota_hero_magnataur,97.0,Buff,str,21.0,19.0,15.0,2.9000000000000004,1.65,2.5,150.0,1.7,310.0,2.0,28.0,40.0,0.0,0.3,0.6,2.75,0.9,25.0,1800.0,800.0,0.8,34.0,99.0,58.0,75.0
npc_dota_hero_night_stalker,60.0,Nerf,str,23.0,16,18.0,2.8000000000000003,1.6,2.25,150.0,1.7,295,3.0,38.0,42.0,0.0,0.3,0.3,2.0,0.9,25.0,1200,1800.0,0.5,40.0,97.0,51.0,72.0
npc_dota_hero_omniknight,57.0,NA,str,20,17.0,15.0,2.65,1.8,1.75,150.0,1.7,300,3,31.0,41.0,0.0,0.5,1.67,1.75,0.9,25.0,1800.0,800.0,0.6,36.0,96.0,58.0,57.0
npc_dota_hero_phoenix,110.0,Buff,str,17.0,18.0,12.0,2.9000000000000004,1.8,1.3,500.0,1.7,285.0,-2.0,26.0,37.0,1100.0,0.2,0.5,1.75,0.9,25.0,1800.0,800.0,1,31.5,95.0,61.0,43.0
npc_dota_hero_pudge,14.0,Buff,str,25.0,14.0,14.0,3.2,1.5,1.5,150.0,1.7,285,-1.0,27.0,33.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.7,30.0,109.0,50.0,50.0
npc_dota_hero_rattletrap,51.0,Buff,str,24,17.0,13.0,2.9000000000000004,1.3,2.3,150.0,1.7,315.0,0.0,31.0,33.0,0.0,0.3,0.51,1.75,0.9,25.0,1800.0,800.0,0.6,32.0,102.0,48.0,68.0
npc_dota_hero_sand_king,16.0,Buff,str,21,17.0,19.0,2.6,1.8,2.1,150.0,1.7,300,0.0,28.0,38.0,0.0,0.0,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,33.0,91.0,60.0,69.0
npc_dota_hero_shredder,98.0,Buff,str,1.8,21.0,16.0,1.8,2.4,1.3,150.0,1.7,290.0,-2.0,26.0,30.0,0.0,0.3,0.6,0.25,0.9,25.0,1800.0,800.0,0.6,28.0,71.0,78.0,47.0
npc_dota_hero_skeleton_king,42.0,Buff,str,22.0,18.0,18.0,2.9000000000000004,1.6,1.7,150.0,1.7,300.0,0.0,39.0,41.0,0.0,0.35,0.51,1.75,0.9,25.0,1800.0,800.0,0.4,40.0,89.0,56.0,58.0
npc_dota_hero_slardar,28.0,Nerf,str,211.0,15.0,17.0,2.8000000000000003,1.5,2.4,150.0,1.7,295,3.0,30.0,38.0,0.0,0.35,0.51,1.75,0.9,25.0,1800.0,800.0,0.5,34.0,285.0,51.0,74.0
npc_dota_hero_spirit_breaker,71.0,NA,str,29.0,14.0,17.0,2.4000000000000004,1.8,1.7,150.0,1.9,290,3.0,31.0,41.0,0.0,0.47,0.8,2.25,0.9,25.0,1800.0,800.0,0.4,36.0,93.0,57.0,57.0
